timeOfDay,websiteCategory,sessionDuration,previousDistractions,focusScore,distractionRisk
2,4,58,6,67,high
1,3,80,9,60,high
2,3,14,2,93,high
2,3,120,3,62,high
3,3,48,1,55,medium
1,3,6,8,37,high
3,3,81,10,17,high
3,4,69,1,89,high
1,6,79,2,85,low
1,4,92,3,24,high
2,5,60,9,74,high
3,6,100,4,43,high
2,7,47,3,49,medium
3,0,68,3,87,high
1,5,23,6,86,high
2,1,76,4,27,high
1,1,35,1,37,high
3,6,85,9,84,high
1,0,97,4,93,high
2,6,104,2,17,medium
0,6,112,8,85,medium
3,7,19,8,54,high
1,5,21,1,63,medium
1,6,112,0,16,high
2,0,49,0,71,high
1,7,8,8,71,high
3,1,38,6,70,high
2,2,101,8,81,high
2,1,46,6,96,high
0,3,13,4,87,medium
0,5,88,6,77,high
1,2,27,7,99,medium
3,6,45,4,71,medium
3,4,5,10,71,high
2,5,74,9,59,high
2,7,56,8,79,medium
1,3,105,10,16,high
0,2,43,4,56,medium
0,7,28,1,48,low
1,4,24,5,93,high
1,4,28,8,16,high
0,2,57,8,68,medium
1,1,15,4,26,high
0,1,51,3,90,medium
2,1,104,4,87,high
3,1,94,8,31,high
2,5,78,0,89,high
1,0,108,3,55,high
1,5,95,2,98,medium
1,7,80,8,76,medium
0,6,105,5,13,medium
2,3,19,0,28,medium
2,0,99,2,46,high
0,6,39,0,29,low
1,0,90,5,22,high
1,5,110,10,99,high
0,5,62,6,89,high
2,1,15,9,49,high
2,5,47,8,29,high
2,1,52,9,26,high
2,1,113,3,93,high
3,6,114,10,40,high
3,7,70,2,11,high
2,2,115,4,46,high
3,7,55,7,51,high
1,7,52,3,66,medium
3,6,102,2,40,high
3,1,82,1,93,medium
2,2,65,0,68,medium
3,5,57,5,99,high
2,7,86,10,43,high
2,6,92,2,69,high
1,3,61,4,43,high
3,1,8,10,73,high
2,7,16,8,77,high
3,2,21,0,39,medium
1,2,58,5,95,medium
3,7,76,1,88,medium
0,4,98,2,91,medium
0,2,31,2,29,medium
2,0,96,6,75,high
2,3,82,2,19,high
3,7,10,2,19,high
1,3,45,2,98,low
2,5,40,3,23,high
2,2,107,7,88,high
3,6,111,4,49,high
2,6,100,3,37,high
1,4,66,5,16,high
3,6,62,6,71,high
0,4,41,0,75,low
3,3,94,9,52,high
0,5,15,10,83,medium
1,6,36,6,39,medium
3,6,20,6,60,high
2,1,62,7,36,high
3,5,39,4,62,high
2,0,27,4,22,high
2,4,48,3,53,high
1,4,104,1,59,medium
0,2,69,9,60,medium
0,7,100,3,50,low
1,7,111,3,68,medium
0,0,109,10,56,high
2,1,45,5,35,high
3,1,106,6,29,high
3,7,110,2,68,medium
1,4,116,3,95,medium
3,5,45,8,78,high
3,6,31,4,68,medium
3,6,72,1,93,medium
1,0,113,9,91,high
1,1,109,4,56,high
3,3,71,7,19,high
0,2,22,3,67,low
1,5,54,6,66,high
0,1,87,8,35,high
3,2,70,9,87,high
2,1,45,2,89,high
0,1,44,7,40,high
0,1,11,10,53,high
2,1,38,7,27,high
2,4,82,1,26,high
3,3,32,2,34,high
1,3,120,2,43,medium
3,3,14,1,34,high
1,5,73,8,23,high
3,6,62,10,50,high
0,4,101,5,66,medium
0,5,107,6,39,high
0,5,68,8,58,high
1,5,78,4,34,high
3,1,86,5,74,high
0,7,65,6,69,high
1,1,26,3,97,low
0,3,54,0,14,medium
3,5,33,6,87,high
2,3,58,9,40,high
3,1,76,0,16,high
2,7,29,2,72,medium
2,0,33,2,25,high
3,1,100,8,26,high
0,7,48,5,99,low
3,5,28,5,30,high
2,0,87,7,59,high
2,6,88,3,28,high
1,7,100,7,21,high
3,0,93,0,10,high
1,3,120,1,11,high
0,3,71,8,53,high
3,1,38,7,49,high
0,1,105,1,13,high
0,1,35,4,41,high
2,1,38,0,34,high
0,3,101,7,61,medium
3,3,107,8,100,high
1,1,44,3,72,medium
0,2,89,3,93,low
3,1,111,2,27,high
2,6,97,4,29,high
1,1,5,2,78,high
2,7,82,2,38,medium
2,4,24,4,87,high
0,6,103,9,52,medium
3,5,12,8,28,high
1,2,120,3,86,medium
2,4,25,10,60,high
3,2,53,2,83,medium
2,0,32,10,51,high
2,2,99,3,21,high
1,2,50,5,71,medium
0,1,91,2,21,high
1,0,12,8,70,high
3,7,57,3,47,high
2,4,110,9,82,high
1,3,112,0,89,low
3,7,29,5,47,medium
3,1,50,1,90,high
3,3,52,9,20,high
1,6,70,4,19,medium
2,5,67,7,100,high
2,3,17,9,62,high
1,2,93,5,51,high
1,0,31,0,24,medium
0,0,41,2,36,medium
1,1,102,2,72,medium
2,6,84,10,84,high
3,5,51,9,93,high
3,3,110,5,47,high
0,6,50,9,51,high
2,1,70,2,24,high
0,1,33,7,17,high
2,3,26,4,49,high
1,7,62,2,62,medium
1,4,70,2,19,high
2,6,98,4,47,high
1,1,50,3,68,high
3,6,108,2,83,medium
2,0,75,3,95,high
3,1,13,1,40,high
2,4,90,10,45,high
1,0,71,4,89,high
3,6,50,1,73,medium
1,6,59,6,34,high
2,4,40,9,72,high
0,2,76,3,24,high
0,0,70,9,50,high
2,4,56,6,37,high
0,4,38,8,100,medium
3,6,51,3,13,high
3,4,62,0,87,high
2,1,59,3,35,high
2,0,40,10,13,high
2,6,72,8,70,high
0,1,31,8,71,high
1,7,63,9,22,high
1,0,19,4,13,high
3,5,59,3,20,high
0,7,95,10,47,medium
1,3,99,6,22,high
1,0,85,3,73,high
0,7,91,3,17,medium
0,1,12,9,81,high
1,4,44,0,89,medium
0,7,80,0,75,low
0,5,97,8,95,high
1,0,72,0,95,medium
0,6,104,1,14,medium
2,1,36,10,41,high
0,5,22,4,79,medium
1,4,15,8,40,high
1,2,72,5,77,high
3,3,82,0,80,medium
2,0,38,2,100,medium
3,7,95,8,40,high
1,1,90,1,41,high
1,2,46,6,12,high
1,4,32,3,35,high
3,5,91,4,35,high
3,4,82,10,51,high
3,4,24,6,48,high
3,4,34,6,87,high
2,6,61,3,80,medium
2,3,64,4,76,high
3,6,24,7,10,high
1,6,115,0,52,medium
1,7,50,2,76,low
3,7,49,6,32,high
1,6,12,6,48,high
0,1,106,1,76,medium
2,6,32,8,82,medium
1,5,119,5,87,medium
3,2,62,2,49,high
3,5,106,8,46,high
1,2,25,10,44,high
2,4,24,4,70,high
3,6,97,3,48,high
2,1,100,3,46,high
0,2,67,6,25,high
2,6,8,0,53,high
2,3,114,5,31,high
2,7,50,0,57,medium
0,0,113,0,90,medium
1,5,106,4,80,high
3,6,103,8,53,high
0,7,84,9,98,medium
1,1,83,0,99,medium
1,7,66,2,50,medium
0,3,7,4,79,high
0,2,49,6,41,low
1,2,89,10,89,medium
3,5,99,7,43,high
0,5,69,5,33,high
1,3,87,0,22,medium
0,0,7,0,86,medium
2,7,59,1,37,high
1,1,63,7,84,high
3,0,108,3,17,high
2,4,41,2,55,high
3,3,31,7,48,high
2,4,45,8,49,high
1,7,24,4,25,medium
3,0,69,9,16,high
1,2,79,8,41,high
3,4,97,7,52,high
3,6,117,9,82,high
2,4,13,2,52,high
2,3,33,8,32,high
1,4,39,10,33,high
3,7,33,10,65,high
2,3,100,6,49,high
3,7,21,8,92,high
1,6,8,9,50,high
3,2,104,9,61,high
1,1,116,9,15,high
0,6,31,9,27,medium
0,1,43,4,87,medium
2,2,63,8,41,high
1,1,66,4,48,high
0,4,119,8,63,high
1,2,51,8,15,high
2,5,6,10,56,high
1,7,54,6,41,high
3,6,69,5,23,high
3,7,64,1,48,medium
2,0,64,7,50,high
3,3,112,6,26,high
1,1,98,5,59,high
0,7,34,7,77,low
0,5,46,9,34,high
3,2,82,1,97,medium
3,4,52,4,65,high
2,4,54,7,80,high
0,3,24,9,16,high
1,3,34,8,79,medium
0,0,90,8,40,high
0,3,102,9,74,high
0,2,96,10,83,medium
2,6,40,6,32,high
0,6,20,2,33,low
3,6,23,6,15,high
1,0,50,7,65,high
1,6,65,1,80,medium
2,3,108,8,47,high
3,3,109,5,24,high
1,7,5,10,38,high
0,6,87,2,46,medium
0,0,39,9,93,high
3,2,27,4,21,high
0,5,69,6,41,high
2,4,8,7,68,high
1,2,43,6,31,medium
3,4,69,9,90,high
0,6,36,1,92,low
3,1,73,8,44,high
2,5,58,10,77,high
1,5,97,2,78,medium
0,7,26,2,72,low
3,2,11,5,26,high
1,1,66,7,14,high
1,4,34,10,41,high
1,4,86,8,21,high
0,3,15,8,36,medium
1,6,71,4,68,medium
0,6,119,7,63,medium
0,1,15,2,29,high
1,6,40,5,11,medium
0,1,102,2,30,high
1,3,66,0,51,medium
3,0,25,9,80,high
0,2,29,8,43,high
0,7,93,5,36,medium
0,3,104,0,60,medium
2,5,46,0,16,high
1,0,59,1,30,medium
1,5,95,7,13,high
0,2,25,2,57,medium
1,5,28,2,50,medium
1,7,94,9,63,high
1,4,26,9,66,high
2,0,94,8,45,high
3,3,62,3,89,medium
1,0,119,6,93,medium
3,3,8,2,20,high
2,0,114,9,93,high
1,5,31,0,27,high
0,2,9,8,32,high
1,1,88,5,58,medium
2,0,66,8,12,high
0,7,102,4,43,medium
3,6,17,1,27,high
1,6,14,8,53,high
3,0,70,6,84,high
2,2,107,5,94,medium
1,7,52,4,29,medium
0,4,97,3,59,medium
2,1,110,5,53,high
1,1,105,2,47,high
0,2,64,3,67,medium
3,7,86,3,100,medium
1,1,65,0,46,medium
0,7,83,10,15,high
1,5,70,2,93,high
1,7,65,1,94,low
3,6,55,1,39,medium
2,2,80,10,55,high
0,6,92,5,88,low
0,1,111,3,55,high
2,2,76,4,53,high
0,1,16,0,93,low
1,1,73,3,85,high
0,0,41,2,56,medium
0,1,8,8,24,high
3,0,13,0,49,high
0,3,73,4,71,medium
0,0,114,8,34,high
3,0,63,9,58,high
0,7,56,5,69,medium
3,0,15,2,17,high
0,0,83,3,61,medium
0,0,11,2,77,high
0,1,102,7,29,high
2,4,99,3,59,high
2,6,119,6,74,medium
1,5,37,7,14,high
0,4,23,10,68,high
0,0,39,4,33,high
2,6,97,10,46,high
0,0,30,4,68,medium
2,5,107,7,10,high
2,3,22,7,11,high
3,7,10,8,50,high
1,2,30,5,96,medium
0,5,92,8,10,high
1,3,74,3,81,medium
3,4,46,5,16,high
2,7,81,5,54,high
2,5,80,7,49,high
1,3,69,6,52,high
0,3,64,0,17,medium
3,5,16,8,78,high
3,2,35,8,35,high
3,1,66,1,80,high
3,3,20,10,69,high
1,0,60,7,60,high
1,1,18,0,38,medium
0,3,96,5,69,medium
3,6,16,9,100,medium
2,6,15,3,94,medium
1,2,78,10,93,high
3,3,30,4,29,high
2,1,45,2,63,high
3,6,41,3,46,medium
3,1,30,5,97,high
0,6,93,7,96,low
1,6,85,10,88,medium
2,5,32,2,24,high
3,2,84,10,39,high
0,7,87,5,74,medium
1,5,67,1,78,medium
2,5,72,10,41,high
3,6,113,3,22,high
0,7,57,6,22,medium
2,0,49,7,72,high
1,7,67,0,51,medium
0,6,101,2,54,medium
2,1,87,7,84,high
1,2,13,3,11,high
2,6,58,0,78,medium
1,1,90,0,34,medium
3,3,30,9,94,high
0,5,119,1,96,low
3,5,98,1,55,high
0,7,103,6,38,medium
2,0,14,1,31,high
1,2,72,7,26,high
1,7,66,5,100,medium
0,4,77,7,27,high
2,1,103,5,50,high
0,2,45,8,53,high
2,2,66,7,71,high
2,4,83,4,86,high
3,2,92,0,60,high
2,4,94,3,78,high
1,3,44,1,61,medium
2,4,120,0,49,high
3,1,6,3,24,high
1,4,62,2,28,high
0,7,75,0,49,low
3,1,12,3,14,high
0,2,57,5,38,high
2,5,74,1,52,high
0,4,75,3,53,medium
0,5,18,0,84,low
3,4,37,0,98,medium
0,5,33,1,76,low
2,4,79,4,17,high
2,0,43,7,47,high
0,6,71,8,76,medium
0,3,89,6,64,medium
3,0,97,6,51,high
2,3,26,10,49,high
0,3,109,2,46,medium
3,0,24,8,62,high
1,7,7,10,26,high
0,1,10,6,57,high
3,2,28,9,28,high
0,3,106,1,71,low
2,6,29,9,88,high
3,5,85,6,56,high
2,6,53,2,45,high
2,1,9,0,95,medium
1,6,56,7,70,medium
0,6,8,4,48,medium
2,3,60,3,12,high
3,4,69,4,11,high
0,0,65,10,30,medium
3,6,37,4,31,high
1,7,93,0,75,medium
2,3,74,3,55,high
0,4,34,1,100,low
2,3,55,7,59,high
0,0,17,8,92,medium
1,4,112,9,60,high
2,5,92,6,42,high
0,7,38,8,75,medium
1,7,83,4,50,high
2,3,83,6,34,high
0,7,75,1,53,low
1,4,11,5,70,high
1,5,106,6,44,high
2,4,115,0,74,high
3,7,118,6,99,medium
3,5,118,7,47,high
0,0,112,4,36,high
0,0,90,5,46,high
0,3,11,3,86,medium
2,4,58,2,26,high
0,5,33,1,98,low
0,3,30,3,47,medium
3,4,101,8,86,high
3,7,99,10,81,high
3,2,65,6,81,high
1,3,90,6,92,medium
2,4,20,6,26,high
2,3,30,5,64,high
0,7,104,4,19,medium
2,7,57,6,37,high
2,4,68,8,13,high
1,3,58,4,72,medium
3,4,28,6,65,high
2,1,100,5,77,high
2,3,92,3,26,medium
2,1,84,3,40,high
3,1,45,0,71,high
2,0,79,4,85,high
1,4,115,7,90,high
3,0,80,7,16,high
2,5,62,10,46,high
3,3,36,0,10,high
0,2,65,8,84,medium
1,6,48,8,21,high
3,4,75,4,84,high
2,5,10,3,24,high
3,5,27,3,11,high
0,0,96,7,89,medium
0,1,49,9,49,medium
3,4,55,7,48,high
1,7,68,5,68,medium
2,1,55,7,35,high
1,0,93,0,72,medium
1,7,33,6,49,medium
3,7,92,0,34,high
0,1,29,10,45,high
3,3,47,9,10,high
3,5,73,5,37,high
2,1,107,4,63,high
1,2,31,8,22,high
0,3,73,7,20,high
2,5,12,7,69,high
1,2,13,5,48,high
0,3,94,2,22,medium
1,2,88,0,78,low
3,6,48,3,80,medium
1,1,77,5,13,high
0,1,49,4,28,high
2,1,37,5,43,high
0,7,55,3,76,low
3,7,41,10,16,high
3,4,99,4,83,high
3,1,52,9,39,high
3,6,42,4,21,high
0,3,67,4,88,medium
0,6,92,6,17,medium
1,2,36,2,21,high
1,7,113,2,96,medium
3,6,58,4,57,medium
2,1,81,8,52,high
2,5,116,1,72,high
3,2,55,4,67,high
2,2,28,7,65,high
1,2,91,7,12,high
1,5,5,4,60,high
2,2,58,0,35,high
0,5,118,0,83,medium
2,4,53,5,55,high
2,6,84,8,21,high
2,7,65,0,90,medium
2,0,29,9,35,high
3,7,41,7,34,high
3,0,65,0,95,high
2,4,17,3,80,high
1,2,53,2,88,low
0,5,53,10,70,high
3,5,101,6,92,high
3,6,19,3,20,high
2,3,102,3,64,high
3,7,52,6,36,high
3,2,80,0,46,high
3,1,69,2,31,high
2,3,39,1,28,high
0,4,112,6,50,high
0,5,31,7,93,medium
0,6,9,5,67,medium
1,1,92,1,41,high
2,2,77,4,49,high
1,7,108,9,58,high
0,3,58,2,32,low
0,1,6,1,57,high
3,7,7,1,73,medium
3,3,55,8,32,high
1,7,33,1,63,medium
3,7,111,6,74,high
2,7,18,10,57,high
3,4,107,7,36,high
3,6,30,4,60,medium
2,7,18,2,82,medium
1,2,36,0,30,medium
2,0,21,1,62,high
1,2,51,10,71,high
1,5,43,1,39,medium
2,4,66,0,45,high
2,0,67,8,90,high
2,4,5,4,43,high
1,1,19,3,64,medium
1,4,23,7,23,high
0,4,27,5,94,medium
2,5,15,10,64,high
2,3,41,5,79,high
3,3,68,7,64,high
2,5,40,9,42,high
1,5,43,5,40,high
0,6,59,3,73,low
0,2,68,10,88,high
1,3,43,2,21,high
1,2,30,0,86,medium
1,4,52,6,85,high
1,1,7,10,19,high
3,3,62,0,19,high
0,1,114,9,73,high
1,4,51,9,86,high
0,6,17,10,45,high
1,7,87,4,68,medium
2,3,19,2,100,medium
0,0,27,5,39,high
1,1,21,1,30,high
0,0,107,9,100,high
3,6,118,7,35,high
2,7,71,5,53,high
0,4,76,5,50,medium
0,1,79,7,57,high
0,0,75,5,34,high
1,7,68,9,71,high
3,2,119,10,72,high
2,0,90,10,28,high
3,1,15,6,53,high
1,2,50,8,15,high
1,5,118,3,30,high
1,7,51,0,99,low
0,2,28,4,56,medium
3,5,105,9,66,high
0,0,77,1,90,medium
1,0,70,6,74,high
2,0,53,2,82,high
0,7,19,4,74,low
1,4,49,1,55,high
1,6,55,8,67,high
1,0,113,8,36,high
0,0,40,8,91,high
0,6,22,7,26,medium
0,0,54,2,90,medium
1,1,120,5,89,high
0,4,60,1,22,medium
3,4,48,4,74,high
0,1,82,5,100,low
2,3,80,7,62,high
2,5,39,1,40,high
1,3,117,8,90,high
3,3,73,5,56,high
0,0,11,9,21,high
0,3,52,5,32,high
1,6,112,6,72,medium
0,5,50,7,51,high
1,7,70,9,29,high
1,1,76,1,82,high
3,0,86,5,20,high
1,4,106,0,29,high
3,1,22,5,52,high
3,4,64,8,13,high
3,7,66,9,45,high
0,2,22,3,92,low
3,4,83,4,95,medium
2,5,18,6,89,high
3,1,57,4,39,high
1,7,43,1,15,high
3,1,22,3,84,high
2,6,100,4,43,high
0,5,33,5,78,medium
1,1,34,10,20,high
0,5,104,5,70,high
3,1,106,4,63,high
1,4,8,7,93,high
0,7,37,8,19,medium
2,7,87,4,47,high
1,6,95,5,100,medium
0,3,120,2,45,medium
3,4,69,9,69,high
3,2,5,9,24,high
2,7,106,1,76,medium
2,3,23,3,35,high
1,6,19,2,62,low
2,2,83,10,90,high
2,5,75,0,70,high
0,1,11,2,53,high
0,5,24,3,27,high
1,0,73,6,41,high
1,0,34,2,87,medium
0,2,84,5,29,high
0,3,52,8,69,medium
3,5,73,9,54,high
1,2,60,1,39,medium
2,0,47,1,75,high
2,2,44,1,42,high
2,3,85,10,36,high
2,4,64,7,58,high
1,5,73,5,78,high
3,1,71,8,88,high
1,4,29,6,67,high
3,5,110,2,70,high
1,6,70,5,81,low
0,4,88,7,34,high
3,6,107,0,32,high
0,1,112,6,54,high
3,5,82,5,67,high
0,0,96,0,68,medium
0,0,59,2,23,medium
2,6,90,4,81,high
3,3,42,3,43,high
1,4,87,3,89,medium
0,4,14,7,75,high
0,5,111,4,99,medium
3,1,33,5,67,high
2,1,81,8,58,high
0,0,6,1,27,high
1,6,23,3,46,medium
1,1,119,0,88,medium
0,4,101,10,44,high
3,3,30,2,14,high
2,1,20,9,32,high
0,3,99,2,64,low
2,0,119,3,67,high
1,1,24,6,99,high
0,1,82,9,94,high
1,6,37,1,58,low
0,4,91,2,60,medium
0,7,53,9,82,low
3,3,19,3,14,high
2,1,42,2,64,high
0,4,67,8,53,high
3,7,97,1,81,medium
2,4,7,9,82,high
3,0,116,9,69,high
2,2,80,9,69,high
1,7,106,3,72,medium
2,4,112,1,62,high
2,7,22,4,30,high
2,4,15,3,35,high
0,0,95,10,77,high
1,6,26,6,66,medium
0,6,22,10,31,medium
1,5,59,8,89,high
0,7,110,7,99,low
0,1,97,1,66,medium
3,7,65,0,30,high
0,1,27,0,95,low
3,7,44,6,31,high
0,1,84,2,49,high
3,4,23,10,88,high
1,6,65,1,57,low
2,0,6,10,32,high
1,0,42,7,17,high
1,6,33,1,42,medium
1,0,84,0,71,high
2,4,111,4,75,high
1,7,21,3,30,medium
2,4,97,3,24,high
3,3,81,5,73,high
1,3,117,1,24,high
1,5,110,1,15,high
0,4,16,7,54,high
1,4,91,10,61,high
0,1,73,3,32,medium
0,5,18,10,29,medium
3,5,34,3,31,high
0,5,112,3,41,high
1,0,67,0,10,high
3,5,44,4,11,high
3,5,42,5,43,high
0,1,102,7,11,high
0,6,37,1,38,low
1,4,23,2,62,medium
2,3,71,4,12,high
3,5,120,0,66,high
0,4,26,1,66,medium
0,4,34,6,62,medium
1,2,59,10,67,high
3,7,28,6,83,high
0,7,80,1,16,medium
1,1,34,10,25,high
0,5,19,5,38,high
0,0,35,7,72,medium
3,2,112,2,89,medium
0,7,113,6,93,low
1,1,63,0,62,high
3,3,51,6,47,high
2,1,100,2,47,high
0,5,27,10,15,high
1,3,80,0,52,high
3,4,83,7,56,high
1,7,87,1,28,medium
2,4,30,7,79,high
2,5,88,5,83,high
2,0,75,10,37,high
0,1,106,7,93,medium
3,7,25,4,19,high
3,6,76,0,92,low
0,5,101,6,79,high
3,3,37,4,30,high
3,1,91,0,69,high
2,6,16,6,38,high
1,6,88,2,82,low
1,1,75,2,24,high
3,4,27,0,32,high
0,4,12,4,37,high
3,3,91,2,28,high
3,7,32,0,40,medium
2,0,62,4,64,high
1,2,12,2,67,medium
2,0,116,1,60,high
0,5,68,5,27,high
3,5,113,0,28,high
1,7,23,10,93,high
0,4,28,5,32,high
3,1,75,10,19,high
2,3,75,9,51,high
2,0,96,10,10,high
0,5,112,5,41,high
3,5,100,4,87,high
2,6,21,7,34,high
3,2,40,0,74,medium
3,2,111,9,54,high
0,0,68,3,42,high
0,3,105,0,70,medium
3,3,70,2,64,high
2,6,10,2,38,high
1,6,59,0,30,low
1,1,100,7,93,high
2,2,80,1,25,high
3,4,20,9,97,high
0,2,29,4,52,low
2,0,104,7,100,high
3,6,118,3,42,high
1,5,92,1,61,medium
1,4,16,1,65,medium
